	T1	T2	T3	T4	T5	T6	T7	T8	T9	T10	T11	T12	T13	T14	T15	T16
YORF452693	-0.35	0.1	0.47	0.39	0.17	-0.18	-0.21	-0.08	-0.36	-0.08	-0.2	0.5	0.05	-0.2	-0.11	0.3
YORF845321	-2.06	-1.98	-1.64	-0.21	1.21	0.69	0.85	0.43	-0.32	-0.77	-1.1	-0.02	0.88	1.3	1.29	1.29
YORF241357	-1.61	-2.55	-1.09	-0.55	0.98	1.14	0.9	0.43	-0.41	-0.38	-1.18	-0.16	0.77	1.27	1.17	1.3
YORF418637	-0.8	-1.25	-0.06	0.27	0.51	0.17	0.3	-0.01	-0.29	0.06	-0.15	0.43	0.25	0.21	0.43	-0.04
YORF274968	-0.39	-0.58	1.08	1.21	0.52	-0.33	-0.58	-0.08	-1.02	0.51	0.11	0.34	0.39	0.1	-0.47	-0.05
YORF917384	0.11	-0.54	-0.45	-0.23	-0.14	0.39	0.15	0.15	0.02	0.17	-0.38	-0.14	-0.06	0.17	0.11	0.07
YORF865327	-0.58	-0.85	-0.38	-0.46	0.12	0.6	0.53	0.14	0.29	-0.04	0	-0.23	-0.06	0.12	0.5	0.02
YORF962571	-2.36	-2.71	-1.46	-0.16	1.51	1.65	0.68	0.41	-0.31	-0.33	-0.74	-0.01	0.97	1.01	1.36	0.67
YORF321784	-1.81	-1.94	-1.33	0.01	1.51	0.91	0.69	0.11	-0.4	-0.78	-1.12	-0.09	0.96	1.32	1.24	0.57
YORF726815	-1.2	0.56	-0.71	-2.24	-1.68	-0.57	0.72	0.74	1.63	0.1	0.51	0.46	-0.71	0.86	-0.2	0.05
YORF853947	-0.29	-0.51	-0.4	-0.19	-0.24	0.15	0.32	0.35	0.03	0.16	-0.31	0.08	0	0	-0.08	0.39
YORF358946	-0.52	-0.28	-0.65	-0.13	-0.15	0.34	0.33	0.26	-0.05	-0.03	-0.43	-0.08	-0.05	0.25	0	0.84
YORF983264	-1.35	-1.1	-0.39	-1.42	-1.22	-1.84	-0.49	0.37	1.21	1.54	1.39	1.12	0.3	0.21	-0.32	0.21
YORF423197	1.57	1.03	1.22	0.31	0.16	-0.49	-1.02	-1.08	-0.8	-0.18	0.1	0.27	0.39	-0.05	-0.42	0.16
YORF312987	-0.91	-0.33	0.41	0.67	0.42	0.13	-0.06	-0.1	-0.84	0.19	-0.18	0.5	0.53	0.22	-0.35	0.16
YORF245789	-0.81	0.02	1.08	0.74	-0.1	-0.23	-0.64	-0.64	-1.21	0.24	1.27	1.13	0.49	-0.06	-0.39	-0.1
YORF852173	-1.15	-0.86	1.21	1.62	1.12	0.16	-0.44	-0.93	-1.23	-0.62	0.62	1.3	1.08	0.27	0.04	-0.51
YORF729864	-0.97	-0.66	0.73	1.36	0.66	0.07	-0.4	0.12	-1.5	0.2	-0.02	0.6	0.91	0.03	-0.25	-1
YORF653927	-0.21	-0.43	-0.08	-0.29	-0.25	-0.01	0.23	0.43	0.02	0.16	-0.27	0.03	-0.23	-0.04	0.22	0.12
YORF639812	-0.46	0	0.42	0.28	0.51	0.03	0.17	-0.18	-0.58	-0.23	-0.12	0.27	0.2	-0.05	0.29	0.28
YORF537816	0.13	-0.26	0.23	-0.65	-0.36	-0.46	0.06	0.31	0.29	0.21	0.23	0.2	-0.04	-0.07	-0.02	0.24
YORF531628	-0.07	-0.55	-0.43	-0.45	0.02	0.21	0.41	0.41	0.17	-0.41	-0.35	-0.18	0.14	0.01	0.04	0.38
YORF695387	-0.92	-1.32	-0.49	-0.19	0.48	0.13	0.79	-0.01	0.3	0.35	-0.17	0.2	0.23	-0.13	0.31	0.2
YORF935648	0.13	0.75	0.86	-0.13	-0.45	-0.34	0.46	0.38	0.81	0.54	1.05	0.83	0.12	-0.53	-0.87	-1.25
YORF286743	-0.92	-0.58	-0.79	-0.5	-0.26	0.36	0.17	0.77	0.56	-0.07	-0.07	-0.21	-0.42	0.14	0.14	0.88
YORF928471	-0.71	1.15	-0.8	-0.48	0.04	0.49	0.27	0.25	-0.12	-0.21	-0.54	-0.46	0.48	0.35	0.38	-0.09
YORF916278	0.06	-0.01	1.05	0.75	0.23	-0.19	-0.1	-0.46	-0.67	0.06	0.26	0.56	0.36	-0.13	-0.6	-0.26
YORF927156	-0.41	0.2	1.31	0.92	0.26	-0.36	-0.26	-0.94	-0.7	0.06	0.61	0.74	0.56	-0.28	-0.6	-0.28
YORF245981	-0.31	-0.38	-0.48	-0.12	-0.24	0.13	0.26	0.36	-0.06	0.2	-0.33	0.01	-0.26	0.05	0.21	0.15
YORF493512	-0.2	0.39	-0.12	0.04	-0.29	0.2	-0.12	-0.31	-0.04	0.51	-0.2	0.26	0.04	-0.2	-0.58	0.31
YORF286391	-1.18	-0.2	0.57	0.69	0.21	0.1	-0.66	-0.44	-0.4	-0.57	0.21	0.81	0.69	0.41	0.13	0.31
YORF571439	-1.22	-0.74	1.34	1.5	0.63	0.29	-0.55	-0.65	-0.76	-0.88	0.69	1.25	0.62	-0.01	-0.36	-0.04
YORF514826	-0.46	0.02	0.81	0.78	0.54	0.32	-0.54	-0.17	-0.25	-0.62	0.18	0.18	0.22	-0.14	-0.16	0.18
YORF739845	-0.24	0.1	0.72	0.89	0.45	0.22	0.07	-0.53	-0.61	-0.24	-0.06	0.26	0.4	-0.08	-0.14	-0.55
YORF279318	-0.33	-0.37	-0.03	0.27	0.65	0.23	0.36	-0.23	-0.29	-0.12	-0.17	0.28	0.46	0.16	0.07	-0.19
YORF315684	-0.29	-0.66	-0.09	0.07	0.57	0.3	0.53	-0.18	-0.07	-0.37	-0.23	0.16	0.3	0.23	0.24	0.14
YORF789124	-0.54	-0.15	0.26	0.6	0.23	0.23	-0.39	-0.17	-0.06	-0.23	0.22	0.34	0.43	-0.08	-0.06	-0.04
YORF681359	1.83	-0.5	-0.24	-0.26	-0.26	0.1	-0.32	-1.03	-0.83	0.64	0.92	0.74	0.46	0.14	-0.22	-0.5
YORF675891	-0.39	-0.17	0.6	0.82	0.22	-0.01	-0.11	-0.22	-0.43	-0.06	0.22	0.43	0.25	-0.17	-0.22	-0.3
YORF296431	-0.32	-0.14	-0.13	0.29	0.25	0.33	-0.17	0.09	0.2	-0.42	0.1	-0.11	0.09	0.16	0	0.27
YORF892567	-0.5	-0.42	0.66	1.05	0.68	0.06	0.01	-0.72	-0.72	-0.28	0.23	0.85	0.72	-0.08	-0.13	-0.48
YORF914736	-0.86	-0.29	0.42	0.46	0.3	0.1	-0.63	-0.09	-0.31	-0.45	0.64	0.39	0.12	0.14	0.02	0.44
YORF315278	-0.58	0.4	-0.33	-0.72	0.07	0.25	0.63	0.37	0.29	-0.17	-0.11	-0.42	-0.31	0	0.31	0.41
YORF791358	-0.72	-0.85	0.54	1.04	0.84	0.24	-0.64	-0.83	-0.36	-0.7	0.99	1.08	0.64	0.18	-0.05	0.03
YORF275148	-0.78	-0.52	0.26	0.2	0.48	0.48	0.27	0.01	-0.29	-0.61	-0.29	0.04	0.31	0.17	0.35	-0.02
YORF574318	-0.01	0.24	-0.07	-0.45	-0.43	-0.56	-0.14	0.63	0.19	0.56	0.05	0.17	-0.14	-0.19	0.16	-0.14
YORF271839	-1.51	-1.57	-1.35	0.04	1.3	1.15	0.94	-0.08	-0.13	-0.72	-0.75	-0.26	0.98	0.94	1.09	0.31
YORF678154	-1.46	-2.3	-1.41	-0.27	1.4	1.18	1.11	0.08	-0.18	-0.82	-0.9	-0.46	0.98	1.15	1.47	0.58
YORF983514	-0.45	-0.87	-0.08	0.1	0.46	0.61	0.33	-0.16	-0.11	-0.51	0.38	0.24	0.53	0.05	0.3	-0.22
YORF287534	-0.16	-0.55	-0.01	0.35	0.47	0.71	-0.06	-0.33	-0.44	-0.26	0.2	-0.24	0.21	-0.11	0.51	-0.29
YORF624187	-0.21	0.46	0.34	0.81	0	0.18	-0.37	-0.24	-0.14	-0.34	0.03	0.26	0.32	-0.14	-0.19	-0.16
YORF468395	-1.63	0.77	1.51	0.76	-0.1	-0.03	-0.54	-0.61	-0.03	0.17	0.4	0.29	0.11	-0.08	-0.32	-0.1
YORF574369	-0.5	-0.45	-0.35	-0.3	0.17	0.16	0.76	0.45	0.17	-0.08	-0.4	-0.4	0.19	0.01	0.46	0.09
YORF568312	-0.25	0.17	0.5	0.11	-1.11	-0.41	-1.14	0.2	0.98	0.79	0.62	-0.06	-0.27	-0.57	0.01	-0.07
YORF675849	0.53	0.31	0.25	0.13	-0.22	-0.03	-0.27	-0.35	0.08	0.16	0.32	0.06	-0.03	-0.43	-0.15	0.16
YORF285649	-0.45	-0.37	0.4	0.16	0.31	0.14	0.34	-0.17	-0.29	-0.31	-0.12	0.14	0.12	0.16	0.16	0.08
YORF136975	-0.88	-0.12	1.08	0.76	-0.12	0.02	-1.03	-0.29	-0.11	0.02	1.03	0.97	0.05	-0.18	-0.33	0.08
YORF493685	-2.29	0.77	1.6	0.53	0.55	-0.38	-0.54	-1.08	-0.94	0.07	1.35	1.02	1	0.2	-0.04	-0.97
